2011-06-16 21:53:06 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/Applications/MAMP/htdocs/smscanada/www/cake/libs/debugger.php, line 682]
2011-06-19 16:11:21 Notice: Notice (8): Undefined index:  added_date in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/index.ctp, line 73]
2011-06-19 16:11:21 Notice: Notice (8): Undefined index:  changed_date in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/index.ctp, line 76]
2011-06-19 16:31:00 Notice: Notice (8): Undefined index:  username in [/Applications/MAMP/htdocs/smscanada/www/app/controllers/users_controller.php, line 11]
2011-06-19 16:31:52 Notice: Notice (8): Undefined index:  User in [/Applications/MAMP/htdocs/smscanada/www/app/controllers/users_controller.php, line 11]
2011-06-19 16:32:05 Notice: Notice (8): Undefined index:  User in [/Applications/MAMP/htdocs/smscanada/www/app/controllers/users_controller.php, line 11]
2011-06-19 16:32:44 Notice: Notice (8): Undefined index:  User in [/Applications/MAMP/htdocs/smscanada/www/app/controllers/users_controller.php, line 11]
2011-06-19 16:33:05 Notice: Notice (8): Undefined index:  User in [/Applications/MAMP/htdocs/smscanada/www/app/controllers/users_controller.php, line 13]
2011-06-19 16:33:50 Notice: Notice (8): Undefined index:  User in [/Applications/MAMP/htdocs/smscanada/www/app/controllers/users_controller.php, line 13]
2011-06-19 16:42:22 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/smscanada/www/app/views/users/login.ctp, line 3]
2011-06-19 16:42:37 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/smscanada/www/app/views/users/login.ctp, line 3]
2011-06-19 16:42:40 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/smscanada/www/app/views/users/login.ctp, line 3]
2011-06-19 16:46:19 Notice: Notice (8): Undefined property: View::$session in [/Applications/MAMP/htdocs/smscanada/www/app/views/users/login.ctp, line 3]
2011-06-19 16:46:24 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/smscanada/www/app/views/users/login.ctp, line 3]
2011-06-19 16:46:40 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/smscanada/www/app/views/users/login.ctp, line 3]
2011-06-19 16:46:42 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/smscanada/www/app/views/users/login.ctp, line 3]
2011-06-19 16:47:05 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/smscanada/www/app/views/users/login.ctp, line 3]
2011-06-19 16:49:39 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/smscanada/www/app/views/users/login.ctp, line 3]
2011-06-19 16:50:13 Notice: Notice (8): Undefined property: View::$Form in [/Applications/MAMP/htdocs/smscanada/www/app/views/users/login.ctp, line 4]
2011-06-19 16:50:49 Notice: Notice (8): Undefined property: View::$Form in [/Applications/MAMP/htdocs/smscanada/www/app/views/users/login.ctp, line 4]
2011-06-19 16:50:59 Notice: Notice (8): Undefined property: View::$Form in [/Applications/MAMP/htdocs/smscanada/www/app/views/users/login.ctp, line 4]
2011-06-19 16:54:08 Notice: Notice (8): Undefined variable: data in [/Applications/MAMP/htdocs/smscanada/www/app/controllers/users_controller.php, line 16]
2011-06-19 18:53:03 Notice: Notice (8): Undefined property: View::$controller in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:53:03 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:53:04 Notice: Notice (8): Undefined property: View::$controller in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:53:04 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:53:04 Notice: Notice (8): Undefined property: View::$controller in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:53:04 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
2011-06-19 18:53:34 Notice: Notice (8): Undefined property: View::$controller in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/default.thtml, line 66]
