2011-06-16 22:51:51 Error: Fatal Error (256): Unable to load DataSource file dbo/dbo_sqlite3.php in [/Applications/MAMP/htdocs/smscanada/www/cake/libs/model/connection_manager.php, line 189]
2011-06-19 15:01:09 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Category.product_id' in 'on clause'</span> in [/Applications/MAMP/htdocs/smscanada/www/cake/libs/model/datasources/dbo_source.php, line 549]
2011-06-19 15:07:21 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Category.product_id' in 'on clause'</span> in [/Applications/MAMP/htdocs/smscanada/www/cake/libs/model/datasources/dbo_source.php, line 549]
2011-06-19 15:10:24 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Category.product_id' in 'on clause'</span> in [/Applications/MAMP/htdocs/smscanada/www/cake/libs/model/datasources/dbo_source.php, line 549]
2011-06-19 15:16:47 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Category.product_id' in 'on clause'</span> in [/Applications/MAMP/htdocs/smscanada/www/cake/libs/model/datasources/dbo_source.php, line 549]
2011-06-19 16:28:30 Warning: Warning (512): Method FormHelper::labelTag does not exist in [/Applications/MAMP/htdocs/smscanada/www/cake/libs/view/helper.php, line 161]
2011-06-19 16:29:34 Warning: Warning (512): Method FormHelper::labelTag does not exist in [/Applications/MAMP/htdocs/smscanada/www/cake/libs/view/helper.php, line 161]
2011-06-19 16:29:34 Warning: Warning (512): Method HtmlHelper::input does not exist in [/Applications/MAMP/htdocs/smscanada/www/cake/libs/view/helper.php, line 161]
2011-06-19 16:29:34 Warning: Warning (512): Method HtmlHelper::password does not exist in [/Applications/MAMP/htdocs/smscanada/www/cake/libs/view/helper.php, line 161]
2011-06-19 16:29:34 Warning: Warning (512): Method HtmlHelper::submit does not exist in [/Applications/MAMP/htdocs/smscanada/www/cake/libs/view/helper.php, line 161]
2011-06-19 16:29:39 Warning: Warning (512): Method HtmlHelper::input does not exist in [/Applications/MAMP/htdocs/smscanada/www/cake/libs/view/helper.php, line 161]
